[14:48:37] This session was started on 2022. 05. 29. 14:48:37
[14:48:37] Listening to port 3001...
[14:48:37] Listening to port 80...
[15:05:08] 193.106.191.48 on login page. /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php>
[15:48:54] 193.106.191.48 on login page. /?XDEBUG_SESSION_START=phpstorm
[16:08:34] 125.42.237.100 on login page. /boaform/admin/formLogin?username=adminisp&psd=adminisp
[16:10:44] 1.15.222.203 on login page. /phpmyadmin/index.php
[16:10:45] 1.15.222.203 on login page. /pmd/index.php
[16:10:46] 1.15.222.203 on login page. /phpmyadmin4.8.5/index.php
[16:17:02] 193.106.191.48 on login page. /console/
[16:29:07] 88.151.90.15 on login page. /
[16:30:17] 137.184.92.62 on login page. /
[17:11:48] 104.200.67.170 on login page. /
[17:16:42] 193.106.191.48 on login page. /_ignition/execute-solution
[17:19:11] 192.168.1.2 served. /admin
[17:34:04] 192.168.1.2 served. /home
[17:34:32] 192.168.1.2 served. /admin
[17:36:40] 178.250.91.146 on login page. /db/phpmyadmin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /phpmyadmin5/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /admin/web/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /phpmyadmin2016/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /sql/sqladmin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /phpMyAdmin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /administrator/pma/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /phpmyadmin2013/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /_phpmyadmin_/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /db/myadmin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /sql/phpmy-admin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /mysql/web/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /db/phpmyadmin4/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /admin/sysadmin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /shopdb/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /phpMyAdmin-5.1.1/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /admin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /php-myadmin/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /phpMyAdmin-5/index.php?lang=en
[17:36:41] 178.250.91.146 on login page. /phpmyadmin4/index.php?lang=en
[17:36:42] 178.250.91.146 on login page. /db/index.php?lang=en
[17:36:42] 178.250.91.146 on login page. /phpMyAdmin1/index.php?lang=en
[17:36:42] 178.250.91.146 on login page. /administrator/admin/index.php?lang=en
[17:36:42] 178.250.91.146 on login page. /phppma/index.php?lang=en
[17:36:42] 178.250.91.146 on login page. /sql/phpmanager/index.php?lang=en
